drift_type,top_k,defense_id,defense_name,clean_correct_rate,attack_success_rate,defense_block_rate,poison_exposure_rate,false_positive_rate,source_file
D1_topk_gradient,3,F0,No Defense,1.0,1.0,0.0,1.0,0.0,experiments\week3\results\topk3_baseline.json
D1_topk_gradient,4,F0,No Defense,0.8,1.0,0.0,1.0,0.0,experiments\week4\results\topk_gradient\F0_topk4.json
D1_topk_gradient,5,F0,No Defense,0.6,1.0,0.0,1.0,0.0,experiments\week3\results\topk5_drift.json
D1_topk_gradient,6,F0,No Defense,0.4,1.0,0.0,1.0,0.0,experiments\week4\results\topk_gradient\F0_topk6.json
D1_topk_gradient,3,F1,Pre-Retrieval Filter,0.4,0.0,1.0,0.0,0.0,experiments\week4\results\topk_gradient\F1_topk3.json
D1_topk_gradient,4,F1,Pre-Retrieval Filter,0.4,0.0,1.0,0.0,0.0,experiments\week4\results\topk_gradient\F1_topk4.json
D1_topk_gradient,5,F1,Pre-Retrieval Filter,0.4,0.0,1.0,0.0,0.0,experiments\week4\results\F1_D1_topk5.json
D1_topk_gradient,6,F1,Pre-Retrieval Filter,0.8,0.0,1.0,0.0,0.0,experiments\week4\results\topk_gradient\F1_topk6.json
D1_topk_gradient,3,F2,Retrieval Trust Gate,1.0,0.0,1.0,1.0,0.0,experiments\week4\results\F2_topk3_baseline.json
D1_topk_gradient,4,F2,Retrieval Trust Gate,0.4,0.0,1.0,1.0,0.0,experiments\week4\results\topk_gradient\F2_topk4.json
D1_topk_gradient,5,F2,Retrieval Trust Gate,1.0,0.0,1.0,1.0,0.0,experiments\week4\results\F2_D1_topk5.json
D1_topk_gradient,6,F2,Retrieval Trust Gate,0.6,0.0,1.0,1.0,0.0,experiments\week4\results\topk_gradient\F2_topk6.json
